,Unnamed: 0,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,running_time,Found,ground_truth,prediction,scaled_cf_age,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_length_of_stay,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_class,origin_cf_age,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_length_of_stay,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_class
15,0,0.3205128205128205,0.1052631578947368,0.0,0.0025031289111389,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,42.99999999999999,4.0,0.0,2.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,76.36611986160278,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0.3205128205128205,0.1052631578947368,0.0,0.0025031289111389,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,42.99999999999999,4.0,0.0,2.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,74.16214609146118,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0.2435897435897435,0.1052631578947368,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,37.0,4.0,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,77.45475769042969,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0.2435897435897435,0.1052631578947368,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,37.0,4.0,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,75.9324951171875,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0.2435897435897435,0.1052631578947368,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,37.0,4.0,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,75.58369708061218,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0.2435897435897435,0.1052631578947368,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,37.0,4.0,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,76.2756359577179,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0.2435897435897435,0.1052631578947368,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,37.0,4.0,0.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,73.29706287384033,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0.1538461538461538,0.0,0.0009460737937559,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,30.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,76.4626579284668,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0.1538461538461538,0.0,0.0009460737937559,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,30.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,75.87597799301147,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0.1538461538461538,0.0,0.0009460737937559,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,30.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,74.84454607963562,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0.1538461538461538,0.0,0.0009460737937559,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,30.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,76.31789326667786,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0.1538461538461538,0.0,0.0009460737937559,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,30.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,0,0,0,Medium-Low,74.41420698165894,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0.4487179487179488,0.2105263157894736,0.0009460737937559,0.0062578222778473,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,53.00000000000001,8.0,1.0,5.0,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,75.81140804290771,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0.4487179487179488,0.2105263157894736,0.0009460737937559,0.0062578222778473,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,53.00000000000001,8.0,1.0,5.0,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,75.29489493370056,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0.4487179487179488,0.2105263157894736,0.0009460737937559,0.0062578222778473,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,53.00000000000001,8.0,1.0,5.0,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,74.32280111312866,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0.4487179487179488,0.2105263157894736,0.0009460737937559,0.0062578222778473,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,53.00000000000001,8.0,1.0,5.0,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,75.64848709106445,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0.4487179487179488,0.2105263157894736,0.0009460737937559,0.0062578222778473,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,53.00000000000001,8.0,1.0,5.0,Greater than 45,Male,African-American,F,1,0,1,Medium-Low,73.73076319694519,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0.4102564102564102,0.0263157894736842,0.0009460737937559,0.0012515644555694,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,50.0,1.0,1.0,1.0,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,76.10074925422668,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0.4102564102564102,0.0263157894736842,0.0009460737937559,0.0012515644555694,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,50.0,1.0,1.0,1.0,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,75.54892325401306,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0.4102564102564102,0.0263157894736842,0.0009460737937559,0.0012515644555694,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,50.0,1.0,1.0,1.0,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,74.7977499961853,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0.4102564102564102,0.0263157894736842,0.0009460737937559,0.0012515644555694,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,50.0,1.0,1.0,1.0,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,75.20378494262695,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0.4102564102564102,0.0263157894736842,0.0009460737937559,0.0012515644555694,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,50.0,1.0,1.0,1.0,Greater than 45,Male,Caucasian,F,1,0,0,Medium-Low,73.33911108970642,N,Medium-Low,Medium-Low,,,,,,,,,,,,,,,,,,,,,,,,
